Country,Unemployed,Economically Active Population,Employed
Argentina,181984,1074952,892968
Bahamas,6213,24852,18639
Bolivia,31626,543976,512350
Brazil,2061699,10769805,8708106
Barbados,2843,10509,7666
Chile,105185,578583,473398
Colombia,349733,2533253,2183520
Costa Rica,41196,222222,181026
Dominican Republic,38062,555204,517142
Ecuador,60429,776826,716397
Guatemala,45936,1330913,1284977
Honduras,59569,656451,596882
Jamaica,29964,114309,84345
Mexico,629810,6767635,6137825
Nicaragua,28455,456076,427621
Panama,22812,193637,170825
Peru,140438,1623181,1482743
Paraguay,55533,481287,425754
El Salvador,29475,381636,352161
Uruguay,28840,158661,129821
Venezuela,166307,1395547,1229240