Country,Technical,Senior,Intermediate,Vendors,Services,Agricultural,Armed Forces,Other
Argentina,162523,0,161383,233303,304875,4594,16614,85456
Bahamas,0,0,0,0,0,0,0,0
Bolivia,47659,5976,34027,0,169334,228488,680,108162
Brazil,1709909,233997,2662777,2041923,2424008,1709334,183056,2744
Barbados,0,0,0,0,0,0,0,0
Chile,117234,10567,108302,142430,150023,64825,4942,2268
Colombia,296581,23572,469358,627723,694136,597014,0,44167
Costa Rica,35632,123,39811,76232,24001,3891,0,94587
Dominican Republic,75675,2793,122469,80947,73454,30455,9615,184818
Ecuador,72534,1834,77160,186319,130729,318255,4193,10626
Guatemala,73208,2693,84043,324292,170631,687323,0,29680
Honduras,49872,43886,20556,98389,137025,291599,0,548
Jamaica,4216,4251,8515,29316,29295,13763,3881,22460
Mexico,1075184,133357,704067,1842903,1346909,1474947,7165,0
Nicaragua,46691,3895,20950,59198,39201,26697,1481,312294
Panama,26464,6220,21702,51506,0,38304,0,102268
Peru,213308,490,236422,423767,524070,620865,13092,0
Paraguay,74236,7726,53833,125811,0,86631,944,194611
El Salvador,26277,1586,22219,105167,78416,144395,3265,0
Uruguay,21129,414,28092,37410,37947,20287,2053,384
Venezuela,110559,26652,141276,394854,309954,189512,21687,1033